Date,Open,High,Low,Close
12/30/2022,"4.414%","4.464%","4.407%","4.420%"
12/29/2022,"4.456%","4.471%","4.414%","4.414%"
12/28/2022,"4.305%","4.482%","4.300%","4.456%"
12/27/2022,"4.321%","4.344%","4.289%","4.305%"
12/23/2022,"4.334%","4.344%","4.303%","4.321%"
12/22/2022,"4.339%","4.349%","4.302%","4.334%"
12/21/2022,"4.309%","4.344%","4.293%","4.339%"
12/20/2022,"4.267%","4.361%","4.267%","4.309%"
12/19/2022,"4.301%","4.313%","4.264%","4.267%"
12/16/2022,"4.323%","4.375%","4.180%","4.301%"
12/15/2022,"4.334%","4.383%","4.297%","4.323%"
12/14/2022,"4.298%","4.386%","4.285%","4.334%"
12/13/2022,"4.277%","4.337%","4.277%","4.298%"
12/12/2022,"4.303%","4.303%","4.246%","4.277%"
12/09/2022,"4.295%","4.309%","4.244%","4.303%"
12/08/2022,"4.324%","4.324%","4.266%","4.295%"
12/07/2022,"4.314%","4.370%","4.300%","4.324%"
12/06/2022,"4.298%","4.350%","4.298%","4.314%"
12/05/2022,"4.306%","4.332%","4.293%","4.298%"
12/02/2022,"4.326%","4.344%","4.293%","4.306%"
12/01/2022,"4.352%","4.372%","4.318%","4.326%"
11/30/2022,"4.363%","4.402%","4.339%","4.352%"
11/29/2022,"4.304%","4.376%","4.281%","4.363%"
11/28/2022,"4.292%","4.320%","4.263%","4.304%"
11/25/2022,"4.248%","4.312%","4.248%","4.292%"
11/23/2022,"4.248%","4.329%","4.216%","4.248%"
11/22/2022,"4.214%","4.286%","4.211%","4.248%"
11/21/2022,"4.250%","4.250%","4.203%","4.214%"
11/18/2022,"4.226%","4.266%","4.222%","4.250%"
11/17/2022,"4.203%","4.254%","4.203%","4.226%"
11/16/2022,"4.188%","4.245%","4.177%","4.203%"
11/15/2022,"4.172%","4.219%","4.159%","4.188%"
11/14/2022,"4.170%","4.206%","4.154%","4.172%"
11/10/2022,"4.164%","4.205%","4.110%","4.170%"
11/09/2022,"4.160%","4.206%","4.149%","4.164%"
11/08/2022,"4.084%","4.188%","4.084%","4.160%"
11/07/2022,"4.116%","4.126%","4.079%","4.108%"
11/04/2022,"4.130%","4.147%","4.090%","4.113%"
11/03/2022,"4.138%","4.148%","4.104%","4.138%"
11/02/2022,"4.131%","4.169%","4.113%","4.015%"
11/01/2022,"4.173%","4.173%","4.059%","4.129%"
10/31/2022,"4.080%","4.173%","3.666%","4.079%"
10/28/2022,"4.037%","4.085%","4.010%","4.077%"
10/27/2022,"4.027%","4.058%","4.001%","4.037%"
10/26/2022,"4.038%","4.069%","4.014%","4.025%"
10/25/2022,"4.015%","4.074%","3.976%","4.038%"
10/24/2022,"3.992%","4.033%","3.966%","4.017%"
10/21/2022,"3.985%","4.010%","3.878%","3.994%"
10/20/2022,"3.991%","4.011%","3.833%","3.893%"
10/19/2022,"3.898%","4.009%","3.773%","3.986%"
10/18/2022,"3.767%","3.904%","3.618%","3.901%"
10/17/2022,"3.713%","3.785%","3.610%","3.769%"
10/14/2022,"3.712%","3.741%","3.590%","3.716%"
10/13/2022,"3.624%","3.714%","3.528%","3.712%"
10/12/2022,"3.442%","3.635%","3.340%","3.622%"
10/11/2022,"3.365%","3.444%","3.285%","3.442%"
10/10/2022,"3.365%","3.365%","3.293%","3.365%"
10/07/2022,"3.384%","3.384%","3.258%","3.365%"
10/06/2022,"3.377%","3.392%","3.285%","3.384%"
10/05/2022,"3.387%","3.423%","3.283%","3.377%"
10/04/2022,"3.244%","3.395%","3.165%","3.387%"
10/03/2022,"3.267%","3.301%","3.170%","3.233%"
09/30/2022,"3.307%","3.319%","3.195%","3.267%"
09/29/2022,"3.330%","3.343%","3.220%","3.235%"
09/28/2022,"3.292%","3.353%","3.213%","3.330%"
09/27/2022,"3.251%","3.343%","3.165%","3.292%"
09/26/2022,"3.193%","3.254%","3.108%","3.251%"
09/23/2022,"3.214%","3.247%","3.118%","3.193%"
09/22/2022,"3.268%","3.299%","3.114%","3.214%"
09/21/2022,"3.258%","3.359%","3.050%","3.268%"
09/20/2022,"3.149%","3.305%","3.060%","3.258%"
09/19/2022,"3.144%","3.177%","3.050%","3.156%"
09/16/2022,"3.163%","3.185%","3.078%","3.144%"
09/15/2022,"3.207%","3.229%","3.093%","3.163%"
