"Date","Week day","ON","1W","1M","2M","ThreeM","6M","12M"
"30.12.2022","Fri","4.31800","","4.39157","","4.76729","5.13886","5.48214"
"29.12.2022","Thu","4.31186","","4.36871","","4.75386","5.13757","5.44257"
"28.12.2022","Wed","4.31643","","4.38357","","4.72986","5.15114","5.47029"
"23.12.2022","Fri","4.31671","","4.38686","","4.72643","5.15314","5.44386"
"22.12.2022","Thu","4.31500","","4.38871","","4.72386","5.14857","5.41586"
"21.12.2022","Wed","4.32057","","4.38557","","4.72900","5.16143","5.43143"
"20.12.2022","Tue","4.31543","","4.36129","","4.75257","5.17671","5.45871"
"19.12.2022","Mon","4.32029","","4.35386","","4.73829","5.14986","5.42771"
"16.12.2022","Fri","4.31700","","4.35286","","4.74586","5.18686","5.47886"
"15.12.2022","Thu","4.31829","","4.33914","","4.73771","5.15229","5.46729"
"14.12.2022","Wed","3.81586","","4.32629","","4.73629","5.12529","5.40686"
"13.12.2022","Tue","3.81786","","4.31786","","4.76900","5.20571","5.55129"
"12.12.2022","Mon","3.81186","","4.29214","","4.75271","5.16100","5.52557"
"09.12.2022","Fri","3.81800","","4.27029","","4.73314","5.13971","5.49943"
"08.12.2022","Thu","3.82000","","4.27429","","4.73514","5.15871","5.50043"
"07.12.2022","Wed","3.82014","","4.23614","","4.72343","5.17243","5.52457"
"06.12.2022","Tue","3.81729","","4.22143","","4.73457","5.20200","5.56414"
"05.12.2022","Mon","3.81671","","4.21729","","4.72343","5.18686","5.51243"
"02.12.2022","Fri","3.81543","","4.18486","","4.73257","5.14914","5.42943"
"01.12.2022","Thu","3.82400","","4.17229","","4.76500","5.17557","5.49471"
"30.11.2022","Wed","3.82314","","4.14200","","4.77857","5.20343","5.57157"
"29.11.2022","Tue","3.81743","","4.12014","","4.76057","5.20886","5.55343"
"28.11.2022","Mon","3.81643","","4.07143","","4.73486","5.21043","5.57214"
"25.11.2022","Fri","3.81200","","4.05471","","4.73386","5.21871","5.59800"
"24.11.2022","Thu","","","4.02914","","4.73629","5.18257","5.56014"
"23.11.2022","Wed","3.81886","","4.04357","","4.75729","5.22529","5.63886"
"22.11.2022","Tue","3.81843","","4.01614","","4.69871","5.16214","5.57886"
"21.11.2022","Mon","3.81143","","3.97900","","4.69186","5.17157","5.56586"
"18.11.2022","Fri","3.81214","","3.95671","","4.66486","5.14271","5.50943"
"17.11.2022","Thu","3.81271","","3.93857","","4.67543","5.12243","5.45786"
"16.11.2022","Wed","3.81729","","3.91071","","4.67429","5.08200","5.46486"
"15.11.2022","Tue","3.81357","","3.90357","","4.64971","5.08500","5.46014"
"14.11.2022","Mon","3.81857","","3.88657","","4.64386","5.10386","5.48357"
"11.11.2022","Fri","","","3.87529","","4.60614","5.08400","5.45129"
"10.11.2022","Thu","3.81486","","3.87314","","4.64971","5.13357","5.63129"
"09.11.2022","Wed","3.81214","","3.87857","","4.63000","5.15629","5.63286"
"08.11.2022","Tue","3.81557","","3.85871","","4.59200","5.13443","5.64029"
"07.11.2022","Mon","3.81800","","3.85514","","4.55729","5.02286","5.61214"
