Date,ThreeM
30.12.2022,4.76729
29.12.2022,4.75386
28.12.2022,4.72986
23.12.2022,4.72643
22.12.2022,4.72386
21.12.2022,4.729
20.12.2022,4.75257
19.12.2022,4.73829
16.12.2022,4.74586
15.12.2022,4.73771
14.12.2022,4.73629
13.12.2022,4.769
12.12.2022,4.75271
09.12.2022,4.73314
08.12.2022,4.73514
07.12.2022,4.72343
06.12.2022,4.73457
05.12.2022,4.72343
02.12.2022,4.73257
01.12.2022,4.765
30.11.2022,4.77857
29.11.2022,4.76057
28.11.2022,4.73486
25.11.2022,4.73386
24.11.2022,4.73629
23.11.2022,4.75729
22.11.2022,4.69871
21.11.2022,4.69186
18.11.2022,4.66486
17.11.2022,4.67543
16.11.2022,4.67429
15.11.2022,4.64971
14.11.2022,4.64386
11.11.2022,4.60614
10.11.2022,4.64971
09.11.2022,4.63
08.11.2022,4.592
07.11.2022,4.55729
04.11.2022,4.55029
03.11.2022,4.53157
02.11.2022,4.50843
01.11.2022,4.45971
31.10.2022,4.46029
28.10.2022,4.43957
27.10.2022,4.41471
26.10.2022,4.37386
25.10.2022,4.358
24.10.2022,4.32686
21.10.2022,4.35843
20.10.2022,4.32457
19.10.2022,4.27757
18.10.2022,4.24257
17.10.2022,4.22657
14.10.2022,4.19371
13.10.2022,4.07914
12.10.2022,4.01086
11.10.2022,3.94071
10.10.2022,3.91914
07.10.2022,3.90871
06.10.2022,3.82571
05.10.2022,3.784
04.10.2022,3.74071
03.10.2022,3.74829
30.09.2022,3.75471
29.09.2022,3.74286
28.09.2022,3.67414
27.09.2022,3.64186
26.09.2022,3.64086
23.09.2022,3.62843
22.09.2022,3.64143
21.09.2022,3.60386
20.09.2022,3.60171
16.09.2022,3.56529
15.09.2022,3.52714
14.09.2022,3.48343
13.09.2022,3.29257
12.09.2022,3.27014
09.09.2022,3.24543
08.09.2022,3.23571
07.09.2022,3.194
06.09.2022,3.16786
05.09.2022,3.14486
02.09.2022,3.15814
01.09.2022,3.14414
31.08.2022,3.09971
30.08.2022,3.08214
26.08.2022,3.06957
25.08.2022,3.04314
24.08.2022,3.01
23.08.2022,2.99686
22.08.2022,2.97971
19.08.2022,2.95771
18.08.2022,2.984
17.08.2022,2.97657
16.08.2022,2.96057
15.08.2022,2.94186
12.08.2022,2.92157
11.08.2022,2.90514
10.08.2022,2.92271
09.08.2022,2.921
08.08.2022,2.91157
05.08.2022,2.86671
04.08.2022,2.86329
03.08.2022,2.83229
02.08.2022,2.807
01.08.2022,2.80214
29.07.2022,2.78829
28.07.2022,2.78229
27.07.2022,2.80586
26.07.2022,2.79286
25.07.2022,2.76929
22.07.2022,2.76629
21.07.2022,2.783
20.07.2022,2.759
19.07.2022,2.73171
18.07.2022,2.70986
15.07.2022,2.73757
14.07.2022,2.74029
13.07.2022,2.512
12.07.2022,2.483
11.07.2022,2.45514
08.07.2022,2.423
07.07.2022,2.42757
06.07.2022,2.39057
05.07.2022,2.34829
04.07.2022,2.32171
01.07.2022,2.29286
30.06.2022,2.28514
29.06.2022,2.27714
28.06.2022,2.25043
27.06.2022,2.23157
24.06.2022,2.23443
23.06.2022,2.19729
22.06.2022,2.18457
21.06.2022,2.15443
20.06.2022,2.12343
17.06.2022,2.09586
16.06.2022,2.06343
15.06.2022,2.02957
14.06.2022,2.00329
13.06.2022,1.82886
10.06.2022,1.74471
09.06.2022,1.72129
08.06.2022,1.68771
07.06.2022,1.69043
06.06.2022,1.665
