date, value
2020-01-06,108.3635
2020-01-07,108.473
2020-01-08,109.0845
2020-01-09,109.4796
2020-01-10,109.4605
2020-01-11,109.4605
2020-01-13,109.936
2020-01-14,109.992
2020-01-15,109.8903
2020-01-16,110.16
2020-01-17,110.134
2020-01-18,110.134
2020-01-20,110.175
2020-01-21,109.857
2020-01-22,109.8285
2020-01-23,109.5345
2020-01-24,109.2835
2020-01-25,109.2835
2020-01-27,108.9101
2020-01-28,109.246
2020-01-29,109.001
2020-01-30,108.927
2020-01-31,108.335
2020-02-01,108.335
2020-02-03,108.6603
2020-02-04,109.467
2020-02-05,109.7989
2020-02-06,109.9905
2020-02-07,109.7295
2020-02-08,109.7295
2020-02-10,109.769
2020-02-11,109.794
2020-02-12,110.0845
2020-02-13,109.82
2020-02-14,109.7715
2020-02-15,109.7915
2020-02-17,109.8485
2020-02-18,109.855
2020-02-19,111.2545
2020-02-20,112.059
2020-02-21,111.5804
2020-02-22,111.5804
2020-02-24,110.6765
2020-02-25,110.2105
2020-02-26,110.412
2020-02-27,109.532
2020-02-28,108.1204
2020-02-29,108.1204
2020-03-02,108.3065
2020-03-03,107.1615
2020-03-04,107.559
2020-03-05,106.1495
2020-03-06,105.3035
2020-03-07,105.3035
2020-03-09,102.374
2020-03-10,105.083
2020-03-11,104.6955
2020-03-12,104.792
2020-03-13,107.935
2020-03-14,107.935
2020-03-16,106.2115
2020-03-17,107.248
2020-03-18,108.039
2020-03-19,110.8585
2020-03-20,110.966
2020-03-21,110.966
2020-03-23,110.967
2020-03-24,111.1105
2020-03-25,111.0075
2020-03-26,109.269
2020-03-27,107.915
2020-03-28,107.915
2020-03-30,107.861
2020-03-31,107.671
2020-04-01,107.183
2020-04-02,108.0635
2020-04-03,108.429
2020-04-04,108.429
2020-04-06,109.156
2020-04-07,108.786
2020-04-08,108.876
2020-04-09,108.5235
2020-04-10,108.3635
2020-04-11,108.3635
2020-04-13,107.714
2020-04-14,107.183
2020-04-15,107.459
2020-04-16,107.984
2020-04-17,107.575
2020-04-18,107.575
2020-04-20,107.711
2020-04-21,107.753
2020-04-22,107.783
2020-04-23,107.588
2020-04-24,107.465
2020-04-25,107.465
2020-04-27,107.2565
2020-04-28,106.8385
2020-04-29,106.5865
2020-04-30,107.116
2020-05-01,106.9304
2020-05-02,106.9304
2020-05-04,106.667
2020-05-05,106.505
2020-05-06,106.0205
2020-05-07,106.325
2020-05-08,106.676
2020-05-09,106.676
2020-05-11,107.644
2020-05-12,107.2301
2020-05-13,107.012
2020-05-14,107.2549
2020-05-15,107.0895
2020-05-16,107.0895
2020-05-18,107.319
2020-05-19,107.844
2020-05-20,107.6305
2020-05-21,107.6097
2020-05-22,107.6504
2020-05-23,107.6504
2020-05-25,107.744
2020-05-26,107.5115
2020-05-27,107.755
2020-05-28,107.671
2020-05-29,107.805
2020-05-30,107.805
2020-06-01,107.574
2020-06-02,108.616
2020-06-03,108.9805
2020-06-04,109.148
2020-06-05,109.628
2020-06-06,109.568
2020-06-08,108.5015
2020-06-09,107.791
2020-06-10,106.936
2020-06-11,106.772
2020-06-12,107.3635
2020-06-13,107.3635
2020-06-15,107.414
2020-06-16,107.332
2020-06-17,107.047
2020-06-18,106.933
2020-06-19,106.8704
2020-06-20,106.8704
2020-06-22,106.9102
2020-06-23,106.476
2020-06-24,107.078
2020-06-25,107.167
2020-06-26,107.1804
2020-06-27,107.1804
2020-06-29,107.591
2020-06-30,107.958
2020-07-01,107.459
2020-07-02,107.525
2020-07-03,107.5185
2020-07-04,107.5185
2020-07-06,107.3889
2020-07-07,107.5571
2020-07-08,107.296
2020-07-09,107.201
2020-07-10,106.9204
2020-07-11,106.9204
2020-07-13,107.293
2020-07-14,107.266
2020-07-15,106.9175
2020-07-16,107.3075
2020-07-17,107.045
2020-07-18,107.045
2020-07-20,107.2531
2020-07-21,106.872
2020-07-22,107.166
2020-07-23,106.8298
2020-07-24,106.1255
2020-07-25,106.1255
2020-07-27,105.307
2020-07-28,105.086
2020-07-29,104.969
2020-07-30,104.732
2020-07-31,105.839
2020-08-01,105.839
2020-08-03,106.0135
2020-08-04,105.7803
2020-08-05,105.589
2020-08-06,105.496
2020-08-07,105.9175
2020-08-08,105.9175
2020-08-10,105.945
2020-08-11,106.48
2020-08-12,106.8621
2020-08-13,106.963
2020-08-14,106.591
2020-08-15,106.591
2020-08-17,106.034
2020-08-18,105.365
2020-08-19,105.996
2020-08-20,105.7435
2020-08-21,105.795
2020-08-22,105.795
2020-08-24,105.971
2020-08-25,106.371
2020-08-26,105.865
2020-08-27,106.603
2020-08-28,105.365
2020-08-29,105.365
2020-08-31,105.883
2020-09-01,105.942
2020-09-02,106.193
2020-09-03,106.1745
2020-09-04,106.2395
2020-09-05,106.2395
2020-09-07,106.3121
2020-09-08,105.9745
2020-09-09,106.207
2020-09-10,106.164
2020-09-11,106.155
2020-09-12,106.155
2020-09-14,105.725
2020-09-15,105.416
2020-09-16,104.9915
2020-09-17,104.725
2020-09-18,104.558
2020-09-19,104.558
2020-09-21,104.682
2020-09-22,104.9955
2020-09-23,105.343
2020-09-24,105.415
2020-09-25,105.591
2020-09-26,105.591
2020-09-28,105.534
2020-09-29,105.653
2020-09-30,105.425
2020-10-01,105.571
2020-10-02,105.335
2020-10-03,105.335
2020-10-05,105.762
2020-10-06,105.632
2020-10-07,105.961
2020-10-08,106.014
2020-10-09,105.635
2020-10-10,105.635
2020-10-12,105.339
2020-10-13,105.4702
2020-10-14,105.1895
2020-10-15,105.389
2020-10-16,105.395
2020-10-17,105.395
2020-10-19,105.465
2020-10-20,105.482
2020-10-21,104.575
2020-10-22,104.861
2020-10-23,104.7585
2020-10-24,104.7585
2020-10-26,104.884
2020-10-27,104.511
2020-10-28,104.303
2020-10-29,104.61
2020-10-30,104.655
2020-10-31,104.655
2020-11-02,104.7465
2020-11-03,104.5995
2020-11-04,104.4875
2020-11-05,103.6215
2020-11-06,103.3475
2020-11-07,103.3475
2020-11-09,105.283
2020-11-10,105.268
2020-11-11,105.4275
2020-11-12,105.113
2020-11-13,104.6405
2020-11-14,104.692
2020-11-16,104.581
2020-11-17,104.1935
2020-11-18,103.8105
2020-11-19,103.791
2020-11-20,103.862
2020-11-21,103.862
2020-11-23,104.4895
2020-11-24,104.4895
2020-11-25,104.4515
2020-11-26,104.255
2020-11-27,104.066
2020-11-28,104.066
2020-11-30,104.339
2020-12-01,104.3285
2020-12-02,104.4399
2020-12-03,103.867
2020-12-04,104.1595
2020-12-05,104.1595
2020-12-07,104.0402
2020-12-08,104.1625
2020-12-09,104.2755
2020-12-10,104.2315
2020-12-11,104.012
2020-12-12,104.012
2020-12-14,104.022
2020-12-15,103.686
2020-12-16,103.447
2020-12-17,103.1135
2020-12-18,103.3185
2020-12-19,103.3185
2020-12-21,103.338
2020-12-22,103.6265
2020-12-23,103.5402
2020-12-24,103.663
2020-12-25,103.5038
2020-12-26,103.5038
2020-12-28,103.78
2020-12-29,103.5455
2020-12-30,103.202
2020-12-31,103.245
2021-01-01,103.2404
2021-01-02,103.2404
2021-01-04,103.1195
2021-01-05,102.719
2021-01-06,103.0585
2021-01-07,103.8575
2021-01-08,103.9285
2021-01-09,103.9285
2021-01-11,104.2205
2021-01-12,103.784
2021-01-13,103.8735
2021-01-14,103.822
2021-01-15,103.914
2021-01-16,103.914
2021-01-18,103.704
2021-01-19,103.9015
2021-01-20,103.567
2021-01-21,103.5135
2021-01-22,103.765
2021-01-23,103.765
2021-01-25,103.769
2021-01-26,103.639
2021-01-27,104.09
2021-01-28,104.244
2021-01-29,104.715
2021-01-30,104.715
2021-02-01,104.9495
2021-02-02,104.9955
2021-02-03,105.031
2021-02-04,105.541
2021-02-05,105.3555
2021-02-06,105.3555
2021-02-08,105.228
2021-02-09,104.583
2021-02-10,104.6201
2021-02-11,104.7545
2021-02-12,104.945
2021-02-13,104.945
2021-02-15,105.349
2021-02-16,106.1029
2021-02-17,105.8855
2021-02-18,105.696
2021-02-19,105.6455
2021-02-20,105.6455
2021-02-22,105.0635
2021-02-23,105.245
2021-02-24,105.883
2021-02-25,106.2415
2021-02-26,106.5995
2021-02-27,106.5995
2021-03-01,106.768
2021-03-02,106.7295
2021-03-03,107.012
2021-03-04,107.985
2021-03-05,108.405
2021-03-06,108.405
2021-03-08,108.9185
2021-03-09,108.5185
2021-03-10,108.413
2021-03-11,108.521
2021-03-12,108.985
2021-03-13,108.985
2021-03-15,109.1305
2021-03-16,109.009
2021-03-17,108.852
2021-03-18,108.9505
2021-03-19,108.924
2021-03-20,108.924
2021-03-22,108.8055
2021-03-23,108.614
2021-03-24,108.746
2021-03-25,109.169
2021-03-26,109.614
2021-03-27,109.614
2021-03-29,109.798
2021-03-30,110.386
2021-03-31,110.767
2021-04-01,110.602
2021-04-02,110.7055
2021-04-03,110.7055
2021-04-05,110.216
2021-04-06,109.765
2021-04-07,109.849
2021-04-08,109.332
2021-04-09,109.662
2021-04-10,109.662
2021-04-12,109.39
2021-04-13,109.0385
2021-04-14,108.9505
2021-04-15,108.716
2021-04-16,108.8175
2021-04-17,108.8175
2021-04-19,108.1535
2021-04-20,108.1139
2021-04-21,108.042
2021-04-22,107.987
2021-04-23,107.875
2021-04-24,107.875
2021-04-26,108.191
2021-04-27,108.747
2021-04-28,108.542
2021-04-29,108.913
2021-04-30,109.3005
2021-05-01,109.3005
2021-05-03,109.071
2021-05-04,109.3099
2021-05-05,109.196
2021-05-06,109.085
2021-05-07,108.5925
2021-05-08,108.5925
2021-05-10,108.8145
2021-05-11,108.6601
2021-05-12,109.668
2021-05-13,109.479
2021-05-14,109.375
2021-05-15,109.375
2021-05-17,109.1995
2021-05-18,108.8925
2021-05-19,109.2065
2021-05-20,108.834
2021-05-21,108.925
2021-05-22,108.925
2021-05-24,108.807
2021-05-25,108.774
2021-05-26,109.122
2021-05-27,109.85
2021-05-28,109.855
2021-05-29,109.855
2021-05-31,109.524
2021-06-01,109.477
2021-06-02,109.589
2021-06-03,110.3043
2021-06-04,109.5535
2021-06-05,109.5535
2021-06-07,109.2625
2021-06-08,109.492
2021-06-09,109.637
2021-06-10,109.389
2021-06-11,109.665
2021-06-12,109.6755
2021-06-14,110.055
2021-06-15,110.056
2021-06-16,110.6999
2021-06-17,110.278
2021-06-18,110.2235
2021-06-19,110.2235
2021-06-21,110.325
2021-06-22,110.649
2021-06-23,110.957
2021-06-24,110.8715
2021-06-25,110.775
2021-06-26,110.775
2021-06-28,110.592
2021-06-29,110.515
2021-06-30,111.1145
2021-07-01,111.5405
2021-07-02,111.0005
2021-07-03,111.0005
2021-07-05,110.9255
2021-07-06,110.644
2021-07-07,110.6045
2021-07-08,109.7898
2021-07-09,110.095
2021-07-10,110.095
2021-07-12,110.335
2021-07-13,110.604
2021-07-14,109.9891
2021-07-15,109.818
2021-07-16,110.0775
2021-07-17,110.0775
2021-07-19,109.446
2021-07-21,110.274
2021-07-22,110.161
2021-07-23,110.554
2021-07-24,110.554
2021-07-26,110.383
2021-07-27,109.7685
2021-07-28,109.8995
2021-07-29,109.4565
2021-07-30,109.685
2021-07-31,109.685
2021-08-02,109.325
2021-08-03,109.021
2021-08-04,109.493
2021-08-05,109.789
2021-08-06,110.231
2021-08-07,110.231
2021-08-09,110.296
2021-08-10,110.564
2021-08-11,110.438
2021-08-12,110.396
2021-08-13,109.5915
2021-08-14,109.5915
2021-08-16,109.253
2021-08-17,109.5901
2021-08-18,109.805
2021-08-19,109.768
2021-08-20,109.785
2021-08-21,109.785
2021-08-23,109.6835
2021-08-24,109.685
2021-08-25,109.9945
2021-08-26,110.053
2021-08-27,109.8275
2021-08-28,109.8275
2021-08-30,109.976
2021-08-31,109.9915
2021-09-01,110.044
2021-09-02,109.961
2021-09-03,109.7145
2021-09-04,109.7145
2021-09-06,109.834
2021-09-07,110.2802
2021-09-08,110.246
2021-09-09,109.782
2021-09-10,109.9275
2021-09-11,109.9275
2021-09-13,110.035
2021-09-14,109.7395
2021-09-15,109.348
2021-09-16,109.731
2021-09-17,109.929
2021-09-18,109.929
2021-09-20,109.422
2021-09-21,109.2395
2021-09-22,109.775
2021-09-23,110.299
2021-09-24,110.7455
2021-09-25,110.7455
2021-09-27,110.9995
2021-09-28,111.541
2021-09-29,111.968
2021-09-30,111.348
2021-10-01,111.0765
2021-10-02,111.0765
2021-10-04,110.9699
2021-10-05,111.489
2021-10-06,111.436
2021-10-07,111.66
2021-10-08,112.233
2021-10-09,112.2365
2021-10-11,113.389
2021-10-12,113.589
2021-10-13,113.2425
2021-10-14,113.724
2021-10-15,114.261
2021-10-16,114.3805
2021-10-18,114.2855
2021-10-19,114.379
2021-10-20,114.3905
2021-10-21,114.0045
2021-10-22,113.568
2021-10-23,113.568
2021-10-25,113.7335
2021-10-26,114.162
2021-10-27,113.798
2021-10-28,113.5685
2021-10-29,113.9425
2021-10-30,113.9425
2021-11-01,114.0575
2021-11-02,113.9715
2021-11-03,113.9845
2021-11-04,113.8205
2021-11-05,113.415
2021-11-06,113.415
2021-11-08,113.254
2021-11-09,112.909
2021-11-10,113.8745
2021-11-11,114.057
2021-11-12,113.8715
2021-11-13,113.8715
2021-11-15,114.136
2021-11-16,114.8225
2021-11-17,114.139
2021-11-18,114.263
2021-11-19,114.023
2021-11-20,114.023
2021-11-22,114.8525
2021-11-23,115.132
2021-11-24,115.418
2021-11-25,115.3435
2021-11-26,113.365
2021-11-27,113.365
2021-11-29,113.614
2021-11-30,113.189
2021-12-01,112.7685
2021-12-02,113.2095
2021-12-03,112.8145
2021-12-04,112.8145
2021-12-06,113.4975
2021-12-07,113.5695
2021-12-08,113.736
2021-12-09,113.4725
2021-12-10,113.385
2021-12-11,113.385
2021-12-13,113.5899
2021-12-14,113.744
2021-12-15,114.0345
2021-12-16,113.729
2021-12-17,113.7185
2021-12-18,113.7185
2021-12-20,113.636
2021-12-21,114.081
2021-12-22,114.1195
2021-12-23,114.439
2021-12-24,114.4065
2021-12-25,114.4065
2021-12-27,114.879
2021-12-28,114.8105
2021-12-29,114.9698
2021-12-30,115.063
2021-12-31,115.108
2022-01-01,115.108
2022-01-03,115.3225
2022-01-04,116.147
2022-01-05,116.135
2022-01-06,115.8525
2022-01-07,115.5345
2022-01-08,115.617
2022-01-10,115.221
2022-01-11,115.3201
2022-01-12,114.6855
2022-01-13,114.189
2022-01-14,114.235
2022-01-15,114.235
2022-01-17,114.609
2022-01-18,114.6005
2022-01-19,114.356
2022-01-20,114.103
2022-01-21,113.6685
2022-01-22,113.6745
2022-01-24,113.968
